NG3 path: indexes/NG3 numberOfCategories: 3   3.985 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   6.732 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   12.227 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   11.536 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   21.460 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   12.572 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   12.017 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   13.073 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   2.456 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   1.589 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   1.708 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   5.682 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   10.782 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   10.467 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   42.485 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   14.437 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   15.921 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   15.546 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   15.545 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   22.935 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   35.169 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   42.915 seconds
CLASSIC4B path: indexes/classic4b numberOfCategories: 4   42.582 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   42.306 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   28.046 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   46.563 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   30.617 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   31.067 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   11.514 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   13.040 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   12.445 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   23.535 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   20.683 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   6.619 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   6.563 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   15.998 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   24.090 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   17.009 seconds
R4Train path: indexes/R4Train numberOfCategories: 4   11.706 seconds
NG5Train path: indexes/NG5Train numberOfCategories: 5   20.858 seconds
NG5Train path: indexes/NG5Train numberOfCategories: 5   46.213 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  17.221 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  9.625 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  9.627 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  1 minutes, 27.018 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  18.820 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  10.206 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  9.406 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  9.407 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  15.809 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  35.281 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  13.984 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  19.030 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  13.549 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  14.381 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  13.239 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  12.908 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  1 minutes, 27.578 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  2 minutes, 36.868 seconds
